89 BURGESS,C.E.
89 STASZEWSKI,L.
89 KLUSSMANN,S.
89 MINENO,J.
89 MORRISON,R.K.
89 PARREN,P.
89 HOLMES,M.C.
88 EGGELING,L.
88 MAEDA,M.
88 NISHIMURA,S.
88 HITZ,W.D.
88 OPPERMANN,H.
88 DAVIS,S.
88 LATHAM,J.
88 YU,F.
88 HUANG,S.
88 KURIMOTO,M.
88 ABE,Y.
88 DE FOUGEROLLES,A.
88 MCCUTCHEN,B.F.
88 MITCHELL,S.C.
88 KONDO,Y.
88 AKITOMI,J.
87 PARK,Y.H.
87 JAKOBSEN,B.K.
87 MITCHINSON,C.
87 KANDIMALLA,E.R.
87 SHITARA,K.
87 FURUKAWA,Y.
87 LEE,I.
87 PATTEN,P.A.
87 LUO,J.
87 MYERS,T.W.
87 SCHELLENBERGER,V.
87 YAMAGUCHI,H.
87 YOUNG,P.E.
87 SAITO,M.
87 TERRETT,J.A.
87 KIM,K.J.
87 KAWAOKA,Y.
87 CHEN,F.
87 COLLIER,S.J.
86 MATSUDA,H.
86 BOUT,A.
86 MATSUMOTO,Y.
86 OKAMOTO,T.
86 WU,K.
86 FUJIMOTO,K.
86 TSURUSHITA,N.
86 SCHRODER,H.
86 OTA,T.
86 XUE,Z.
86 PARK,S.K.
86 CHUN,J.Y.
85 VALENZUELA,D.M.
85 SAITO,I.
85 SAKAI,Y.
85 KODAMA,T.
85 POWER,S.D.
85 MILLER,J.C.
85 YAMAZAKI,T.
85 MURAKAMI,T.
85 YU,H.
85 TOMONO,J.
85 WADA,M.
85 NAKAMURA,H.
85 YAMAGUCHI,M.
85 HAN,K.
85 SHAK,S.
85 KWON,S.C.
85 KANG,J.S.
84 KLEIN,M.H.
84 SLEEP,D.
84 ZHANG,S.
84 SHINJOH,M.
84 CHUMAKOV,I.
84 REED,J.C.
84 HOSOYA,M.
84 KUBOTA,M.
84 SCHNEIDER,P.
84 IKEDA,H.
84 SKEIKY,Y.A.W.
84 ZHAO,H.
84 YAVER,D.
84 YAMAGUCHI,S.
84 MURAKAMI,H.
84 CHENG,Q.
84 ARA,K.
84 KANDA,Y.
84 SAWAI,K.
84 SHEN,Y.
84 BACHMANN,M.
84 TUSCHL,T.
84 USENER,D.
84 HADWIGER,P.
84 GUPTA,A.
84 NAKAYAMA,M.
84 LEE,E.J.
83 ULLRICH,A.
83 MATSUMOTO,H.
83 RUEGER,D.C.
83 NAKAYAMA,T.
83 TANABE,T.
83 AGOSTINO,M.J.
83 WEST,J.W.
83 BAKER,J.B.
83 KIM,K.S.
83 LIU,G.
83 CROOKE,R.M.
83 PAN,C.
83 HASHIMOTO,M.
83 PHELPS,C.B.
83 HATZFELD,Y.
83 CHO,K.M.
82 MATHUR,E.J.
82 CROOKE,S.T.
82 WONG,H.C.
82 PURCELL,R.H.
82 SCHLOM,J.
82 WU,G.
82 MAKINO,Y.
82 NAKAGAWA,H.
82 KOBAYASHI,H.
82 HASHIMOTO,S.
82 JUNG,J.
82 NISHIKAWA,T.
82 TAKAGI,H.
82 KATAOKA,K.
82 RICHARDSON,T.
82 FURUTANI,M.
82 HOSSE,R.
82 ROSSI,E.A.
81 FUJIMURA,T.
81 PASTAN,I.H.
81 CHANG,S.
81 MAEDA,H.
81 KINNEY,A.J.
81 SHI,J.
81 XU,Z.
81 ISHII,T.
81 SEKINE,S.
81 JONES,R.M.
81 DA COSTA E SILVA,O.
81 HARA,S.
81 CHOI,E.
81 SMITHSON,G.
81 SAMPATH,R.
81 JUNG,S.
81 SMITH,J.T.L.
80 MOECKEL,B.
80 FUJIWARA,T.
80 SMITH,J.
80 IIDA,A.
80 OOMEN,R.P.
80 SHIMADA,H.
80 THORPE,P.E.
